id_serie,nome_serie,id_episodio,temporada,num_episodio,nome_episodio,ano,generos,duracao_minutos,avaliacao_media,num_votos
tt1837492,13 Reasons Why,tt5174246,1,1,"Tape 1, Side A",2017,"Drama,Mystery,Thriller",54.0,8.2,8098
tt1837492,13 Reasons Why,tt5174248,1,2,"Tape 1, Side B",2017,"Drama,Mystery,Thriller",52.0,7.9,6778
tt1837492,13 Reasons Why,tt5174250,1,3,"Tape 2, Side A",2017,"Drama,Mystery,Thriller",57.0,7.8,6386
tt1837492,13 Reasons Why,tt5174252,1,4,"Tape 2, Side B",2017,"Drama,Mystery,Thriller",57.0,8.0,6156
tt1837492,13 Reasons Why,tt5174254,1,5,"Tape 3, Side A",2017,"Drama,Mystery,Thriller",59.0,8.1,6090
tt1837492,13 Reasons Why,tt5174260,1,6,"Tape 3, Side B",2017,"Drama,Mystery,Thriller",52.0,7.9,5874
tt1837492,13 Reasons Why,tt5174262,1,7,"Tape 4, Side A",2017,"Drama,Mystery,Thriller",54.0,8.3,5983
tt1837492,13 Reasons Why,tt5174264,1,8,"Tape 4, Side B",2017,"Drama,Mystery,Thriller",54.0,8.0,5796
tt1837492,13 Reasons Why,tt5174266,1,9,"Tape 5, Side A",2017,"Drama,Mystery,Thriller",59.0,8.6,5941
tt1837492,13 Reasons Why,tt5174270,1,10,"Tape 5, Side B",2017,"Drama,Mystery,Thriller",50.0,8.5,5940
tt1837492,13 Reasons Why,tt5174272,1,11,"Tape 6, Side A",2017,"Drama,Mystery,Thriller",54.0,9.1,7847
tt1837492,13 Reasons Why,tt5174274,1,12,"Tape 6, Side B",2017,"Drama,Mystery,Thriller",62.0,9.0,6829
tt1837492,13 Reasons Why,tt5174280,1,13,"Tape 7, Side A",2017,"Drama,Mystery,Thriller",60.0,9.2,9041
tt1837492,13 Reasons Why,tt6861936,2,1,The First Polaroid,2018,"Drama,Mystery,Thriller",60.0,7.0,4152
tt1837492,13 Reasons Why,tt7013298,2,2,Two Girls Kissing,2018,"Drama,Mystery,Thriller",60.0,7.1,3589
tt1837492,13 Reasons Why,tt7050070,2,3,The Drunk Slut,2018,"Drama,Mystery,Thriller",57.0,7.3,3426
tt1837492,13 Reasons Why,tt7136932,2,4,The Second Polaroid,2018,"Drama,Mystery,Thriller",57.0,7.1,3252
tt1837492,13 Reasons Why,tt7136936,2,5,The Chalk Machine,2018,"Drama,Mystery,Thriller",57.0,7.0,3181
